"play_date","daily_play_count","daily_play_duration_minutes"
"2020-04-14",1,5
"2020-04-12",1,5
"2020-04-10",5,29
"2020-04-26",1,5
"2020-06-17",1,5
"2020-08-15",1,5
"2020-08-19",1,0
"2020-10-15",1,5
"2020-05-21",2,5
"2020-06-08",1,5
"2020-06-10",2,11
"2020-06-14",1,5
"2020-08-12",2,11
"2020-08-27",1,5
"2020-09-17",1,5
"2020-09-18",2,11
"2020-10-07",1,5
"2020-06-07",4,17
"2020-06-13",2,11
"2020-07-05",1,5
"2020-07-09",1,5
"2020-08-18",1,5
"2020-08-29",2,18
"2020-09-01",1,5
"2020-09-02",2,11
"2020-09-28",1,5
"2020-10-01",2,8
"2020-10-28",1,5
"2020-11-05",1,5
"2020-11-08",1,5
"2020-06-02",2,11
"2020-06-09",5,12
"2020-06-11",6,21
"2020-06-12",7,29
"2020-06-15",1,5
"2020-06-16",1,5
"2020-06-19",1,5
"2020-08-02",1,5
"2020-08-28",8,52
"2020-08-30",3,17
"2020-08-31",3,17
"2020-09-03",1,5
"2020-09-04",3,12
"2020-09-05",1,5
"2020-09-19",1,5
"2020-10-02",1,5
"2020-10-09",2,11
"2020-10-16",1,5
"2020-10-21",2,5
"2020-11-06",1,9
"2020-11-11",1,5
"2020-11-12",1,10
"2020-11-20",1,5
"2020-12-03",2,6
"2020-12-12",1,5
"2021-01-09",1,5
"2021-01-21",1,5
"2021-03-13",1,5
"2020-11-03",1,5
"2020-11-07",3,17
"2020-11-19",1,5
"2021-01-02",1,5
"2021-01-07",1,5
"2021-03-11",1,5
"2020-11-14",1,5
"2020-11-29",1,9
"2020-12-01",2,22
"2021-01-04",1,5
"2020-10-27",1,5
"2020-11-04",1,5
"2020-11-22",2,11
"2020-11-25",1,5
"2020-12-02",6,28
"2020-12-08",2,7
"2020-12-13",1,5
"2020-12-19",2,11
"2020-12-27",1,5
"2021-01-31",1,5
"2021-02-21",1,5
"2021-02-24",2,11
"2021-04-27",1,5
"2021-09-13",1,5
"2021-03-22",1,5
"2021-05-03",1,5
"2021-05-26",1,5
"2021-06-24",1,5
"2021-09-05",1,5
"2021-09-16",1,5
"2021-05-07",1,7
"2021-05-18",2,11
"2021-05-21",3,17
"2021-06-03",1,5
"2021-06-29",2,5
"2021-08-04",2,15
"2021-10-13",1,5
"2021-03-27",1,5
"2021-03-29",1,5
"2021-05-17",2,11
"2021-06-02",1,5
"2021-08-06",2,5
"2021-08-09",1,5
"2022-02-22",1,5
"2022-02-26",1,5
"2022-04-08",1,5
"2021-11-27",1,5
"2021-12-28",2,5
"2021-12-01",2,11
"2021-10-18",1,5
"2021-10-22",1,5
"2021-12-07",1,5
"2022-02-18",1,5
"2022-02-21",1,5
"2022-06-26",2,5
"2022-07-07",1,5
"2022-12-29",1,5
"2022-06-17",1,5
"2022-09-12",1,5
"2022-09-21",1,5
"2023-03-07",1,1
"2023-03-08",2,6
"2022-07-17",1,5
"2022-10-26",1,5
"2022-08-06",1,5
"2022-09-20",1,5
"2022-11-25",1,5
"2023-12-13",1,5
"2024-02-01",1,5
"2024-04-01",1,5
"2023-03-13",1,5
"2023-04-10",1,5
"2023-05-21",1,5
"2023-11-26",1,5
"2024-01-23",1,5
"2024-06-06",1,5
"2024-07-02",1,5
"2024-09-04",1,5
"2024-09-03",1,0
